time,model_name,experiment_name,learning_rate,n_steps,batch_size,ent_coef,total_timesteps,features_dim,net_arch
2026-05-14 17:02,ppo_bundle_0514_1702,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:05,ppo_bundle_0514_1705,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:06,ppo_bundle_0514_1706,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:09,ppo_bundle_0514_1709,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:11,ppo_bundle_0514_1711,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:13,ppo_bundle_0514_1713,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:15,ppo_bundle_0514_1715,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:17,ppo_bundle_0514_1717,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:19,ppo_bundle_0514_1719,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:21,ppo_bundle_0514_1721,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:23,ppo_bundle_0514_1723,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:25,ppo_bundle_0514_1725,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:28,ppo_bundle_0514_1728,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:32,ppo_bundle_0514_1732,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
2026-05-14 17:34,ppo_bundle_0514_1734,multi_config_exp_01,0.0003,512,128,0,20000,128,"{'pi': [128, 128], 'vf': [128, 128]}"
